,,general,,work,,,,,,,,,,,,
,Variable,M,SD,M,SD,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,
X.,1. asrs_sum,13.8,5.3,14.0,5.31, ,-0.1,-.35**,-.18**,-.31**,-.33**,-0.07,-.39**,-.30**,0.08,.38**
X..2,2. age,39.1,12.2,38.0,11.77,-.21**, ,.17**,.13*,0.04,0.12,.16*,.13*,.17**,0.05,-0.11
X..5,3. consc.gen,4.0,0.6,4.3,0.54,-.44**,.33**, ,.72**,.73**,.76**,.75**,.89**,.68**,.16*,-.48**
X..8,4. self.efficacy,4.3,0.6,4.5,0.55,-.30**,.22**,.67**, ,.35**,.56**,.59**,.65**,.29**,.27**,-.18**
X..11,5. orderliness,3.7,1.1,4.2,0.81,-.31**,.21**,.73**,.33**, ,.45**,.35**,.60**,.46**,-0.01,-.39**
X..14,6. dutifulness,4.3,0.6,4.5,0.6,-.25**,.30**,.69**,.46**,.34**, ,.58**,.63**,.35**,0.12,-.46**
X..17,7. achievement.striving,4.0,0.8,4.1,0.78,-.28**,.31**,.73**,.50**,.36**,.51**, ,.62**,.28**,.33**,-.30**
X..20,8. self.discipline,3.8,0.9,4.1,0.74,-.47**,.26**,.85**,.56**,.53**,.49**,.61**, ,.53**,.16*,-.39**
X..23,9. cautiousness,4.0,1.0,4.3,0.84,-.32**,.20**,.75**,.34**,.48**,.43**,.36**,.56**, ,-0.1,-.43**
X..26,10. total.ocb,2.9,0.8,2.8,0.79,0.01,0.1,.19**,.23**,0.01,.13*,.35**,.17**,0.05, ,.23**
X..29,11. total.cwb,1.6,0.6,1.6,0.54,.28**,-.21**,-.45**,-.30**,-.29**,-.38**,-.32**,-.36**,-.37**,.15*,
