"","Variable","M","SD","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X.","1. asrs_sum","13.97","5.31"," "," "," "," "," "," "," "," "," "," "
"X..2","2. age","38.01","11.77","-.10"," "," "," "," "," "," "," "," "," "
"X..5","3. consc.gen","4.25","0.54","-.35**",".17**"," "," "," "," "," "," "," "," "
"X..8","4. self.efficacy","4.45","0.55","-.18**",".13*",".72**"," "," "," "," "," "," "," "
"X..11","5. orderliness","4.15","0.81","-.31**",".04",".73**",".35**"," "," "," "," "," "," "
"X..14","6. dutifulness","4.45","0.60","-.33**",".12",".76**",".56**",".45**"," "," "," "," "," "
"X..17","7. achievement.striving","4.09","0.78","-.07",".16*",".75**",".59**",".35**",".58**"," "," "," "," "
"X..20","8. self.discipline","4.11","0.74","-.39**",".13*",".89**",".65**",".60**",".63**",".62**"," "," "," "
"X..23","9. cautiousness","4.26","0.84","-.30**",".17**",".68**",".29**",".46**",".35**",".28**",".53**"," "," "
"X..26","10. total.ocb","2.78","0.79",".08",".05",".16*",".27**","-.01",".12",".33**",".16*","-.10"," "
"X..29","11. total.cwb","1.56","0.54",".38**","-.11","-.48**","-.18**","-.39**","-.46**","-.30**","-.39**","-.43**",".23**"
